127.0.0.1 - - [29/Feb/2024:18:18:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:14 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:14 +0530] "GET /movie-book-app/movie-poster.jpg HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:14 +0530] "GET /movie-book-app/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:18 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:18 +0530] "GET /movie-book-app/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:18 +0530] "GET /movie-book-app/movie-poster.jpg HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:22 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:22 +0530] "GET /movie-book-app/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:18:22 +0530] "GET /movie-book-app/movie-poster.jpg HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:20:25 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:20:25 +0530] "GET /movie-book-app/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:20:25 +0530] "GET /movie-book-app/movie-poster.jpg HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:21:10 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:21:10 +0530] "GET /movie-book-app/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:21:10 +0530] "GET /movie-book-app/movie-poster.jpg HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:24:50 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:25:36 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:26:21 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:26:37 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:26:38 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:26:39 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:26:39 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:26:40 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:28:22 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:32:42 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:34:37 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:34:52 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:35:03 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [29/Feb/2024:18:36:07 +0530] "GET /movie-book-app/show.jsp HTTP/1.1" 200 1072
